Districts,x,y
Kanchipuram,96,107
Tiruvallur,142,208
Cuddalore,102,67
Villupuram,90,97
Vellore,59,177
Tiruvannamalai,59,135
Salem,-16,79
Namakkal,-18,44
Dharmapuri,-11,111
Erode,-75,57
Coimbatore,-108,8
Nilgiris,-139,56
Thanjavur,71,-7
Nagapattinam,125,-24
Tiruvarur,100,-11
Tiruchirappalli,28,15
Karur,-13,7
Perambalur,50,39
Pudukkottai,48,-36
Madurai,-32,-78
Theni,-77,-78
Dindigul,-41,-34
Ramanathapuram,29,-119
Virudhunagar,-39,111
Sivagangai,20,-78
Tirunelveli,-64,-187
Thoothukkudi,-33,-157
Kanniyakumari,-86,-209
Chennai,162,185
Krishnagiri,-36,156
Ariyalur,76,29
Tiruppur,-76,5
